video_name,cq,vmaf,output_size,bitrate
city_cif_segment_000.mp4,40,89.77,0.14,0.24
city_cif_segment_001.mp4,10,99.94,2.13,3.58
city_cif_segment_001.mp4,15,99.71,1.28,2.14
city_cif_segment_001.mp4,20,99.26,0.83,1.39
city_cif_segment_001.mp4,25,98.22,0.51,0.86
city_cif_segment_001.mp4,30,96.42,0.33,0.56
city_cif_segment_001.mp4,35,93.41,0.21,0.36
city_cif_segment_001.mp4,40,88.46,0.14,0.24
claire_qcif_segment_000.mp4,10,97.88,0.46,0.77
claire_qcif_segment_000.mp4,15,97.72,0.26,0.43
claire_qcif_segment_000.mp4,20,97.54,0.16,0.27
claire_qcif_segment_000.mp4,25,97.25,0.10,0.17
claire_qcif_segment_000.mp4,30,96.8,0.06,0.11
claire_qcif_segment_000.mp4,35,96.02,0.04,0.07
claire_qcif_segment_000.mp4,40,94.62,0.03,0.05
claire_qcif_segment_001.mp4,10,97.87,0.47,0.79
claire_qcif_segment_001.mp4,15,97.72,0.27,0.45
claire_qcif_segment_001.mp4,20,97.5,0.16,0.28
claire_qcif_segment_001.mp4,25,97.25,0.10,0.17
claire_qcif_segment_001.mp4,30,96.74,0.07,0.11
claire_qcif_segment_001.mp4,35,95.93,0.04,0.07
claire_qcif_segment_001.mp4,40,94.47,0.03,0.05
claire_qcif_segment_002.mp4,10,97.95,0.47,0.80
claire_qcif_segment_002.mp4,15,97.79,0.27,0.45
claire_qcif_segment_002.mp4,20,97.59,0.17,0.29
claire_qcif_segment_002.mp4,25,97.29,0.11,0.18
claire_qcif_segment_002.mp4,30,96.77,0.07,0.12
claire_qcif_segment_002.mp4,35,95.88,0.05,0.08
claire_qcif_segment_002.mp4,40,94.49,0.03,0.05
coastguard_cif_segment_000.mp4,10,99.97,2.80,4.69
coastguard_cif_segment_000.mp4,15,99.8,1.73,2.90
coastguard_cif_segment_000.mp4,20,98.84,1.10,1.84
coastguard_cif_segment_000.mp4,25,96.81,0.69,1.15
coastguard_cif_segment_000.mp4,30,93.73,0.44,0.73
