cq,vmaf,metrics_avg_motion,metrics_avg_edge_density,metrics_avg_texture,metrics_avg_temporal_information,metrics_avg_spatial_information,metrics_avg_color_complexity,metrics_scene_change_count,metrics_avg_motion_variance,metrics_avg_grain_noise,metrics_frame_rate,metrics_resolution
10,99.97,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
15,99.91,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
20,99.75,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
25,99.19,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
30,97.76,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
35,94.67,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
40,89.77,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
10,99.94,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
15,99.71,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
20,99.26,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
25,98.22,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
30,96.42,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
35,93.41,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
40,88.46,0.69,0.17,6.69,9.35,69.01,6.69,0,0.22,8.92,30,"(352, 288)"
10,97.88,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
15,97.72,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
20,97.54,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
25,97.25,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
30,96.8,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
35,96.02,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
40,94.62,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
10,97.87,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
15,97.72,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
20,97.5,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
25,97.25,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
30,96.74,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
35,95.93,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
40,94.47,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
10,97.95,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
15,97.79,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
20,97.59,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
25,97.29,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
30,96.77,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
35,95.88,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
40,94.49,0.08,0.08,6.22,2.18,148.32,6.18,0,0.08,8.33,30,"(176, 144)"
10,99.97,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
15,99.8,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
20,98.84,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
25,96.81,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
30,93.73,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
35,89.51,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
40,83.87,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
10,99.98,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
15,99.96,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
20,99.55,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
25,98.03,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
30,95.32,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
35,91.54,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
40,86.81,0.76,0.16,7.45,10.68,120.78,7.44,0,0.34,13.47,30,"(352, 288)"
10,97.76,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
15,97.5,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
20,97.15,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
25,96.69,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
30,95.88,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
35,94.69,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
40,92.88,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
10,97.81,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
15,97.55,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
20,97.21,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
25,96.72,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
30,95.96,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
35,94.68,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
40,92.82,0.09,0.11,6.99,2.64,131.34,7.07,0,0.18,13.62,30,"(352, 288)"
10,99.69,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
15,98.8,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
20,96.9,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
25,94.38,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
30,91.64,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
35,87.77,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
40,82.48,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
10,99.99,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
15,99.95,1.83,0.06,6.79,11.36,53.25,6.93,6,1.55,4.15,60,"(704, 576)"
